,cand_id,cand_name,cand_pty_affliation,result,degreecentrality
33,H0CA151482012,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1,0.0004678665286294497
34,H0CA171852014,"KABAT, RONALD PAUL                                                                                                                                                                                      ",NNE,0,
35,H0CA171852012,"KABAT, RONALD P.                                                                                                                                                                                        ",NPA,0,
36,H0CA190822014,"HERNANDEZ, JOHN STEPHEN                                                                                                                                                                                 ",DEM,0,9.954606992115953e-06
37,H0CA190822012,"HERNANDEZ, JOHN S                                                                                                                                                                                       ",DEM,0,5.475033845663773e-05
38,H0CA191732014,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1,0.0011049613761248706
39,H0CA191732012,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1,0.001244325874014494
40,H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0,5.9727641952695706e-05
41,H0CA270852014,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1,0.0005126622600939715
42,H0CA270852012,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1,0.0008809827188022617
43,H0CA321012012,"CHU, JUDY                                                                                                                                                                                               ",DEM,1,0.0014782591383292187
44,H0CA321012014,"CHU, JUDY                                                                                                                                                                                               ",DEM,1,0.0009506649677470734
45,H0CA331172012,"BASS, KAREN                                                                                                                                                                                             ",DEM,1,0.00015927371187385522
46,H0CA331172014,"BASS, KAREN                                                                                                                                                                                             ",DEM,1,0.0008710281118101457
47,H0CA331332012,"JENNERJAHN, PHIL                                                                                                                                                                                        ",REP,0,
48,H0CA340992012,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1,
49,H0CA340992014,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1,
50,H0CA480242012,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,0.001259257784502668
51,H0CA480242014,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,0.0008063231663613921
52,H0CA490552012,"DAVIS, SUSAN A                                                                                                                                                                                          ",DEM,1,0.0003782750657004062
53,H0CA490552014,"DAVIS, SUSAN                                                                                                                                                                                            ",DEM,1,0.00017420562236202916
54,H0CA510362012,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,0,0.00014931910488173928
55,H0CO041222012,"GARDNER, CORY                                                                                                                                                                                           ",REP,1,0.001413554192880465
56,H0CO041222014,"GARDNER, CORY                                                                                                                                                                                           ",REP,1,0.015250457911921637
57,H0CT030722014,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1,0.0006122083300151309
58,H0CT030722012,"DELAURO, ROSA L                                                                                                                                                                                         ",DEM,1,0.0009705741817313052
59,H0CT041462014,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0,0.002309468822170901
60,H0CT041462010,"DEBICELLA, DAN                                                                                                                                                                                          ",REP,0,
61,H0CT051272014,"PISTONE, JOHN                                                                                                                                                                                           ",REP,0,
62,H0CT051272012,"PISTONE, JOHN                                                                                                                                                                                           ",UNK,0,
63,H0CT051502014,"GREENBERG, MARK                                                                                                                                                                                         ",REP,0,0.0005126622600939715
64,H0CT051502012,"GREENBERG, MARK DANIEL                                                                                                                                                                                  ",REP,0,9.954606992115952e-05
65,H0DE010172014,"CARNEY, JOHN                                                                                                                                                                                            ",DEM,1,9.456876642510156e-05
66,H0DE010172012,"CARNEY, JOHN CHARLES JR                                                                                                                                                                                 ",DEM,1,0.0003334793342358844
67,H0DE010252014,"IZZO, ROSE                                                                                                                                                                                              ",REP,0,
68,H0DE010252012,"IZZO, ROSE                                                                                                                                                                                              ",REP,0,
69,H0FL020862012,"LAWSON, ALFRED J JR                                                                                                                                                                                     ",DEM,0,0.0005873218125348412
70,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1,0.0011298478936051606
71,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,1,0.0007814366488811022
72,H0FL021102014,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0,0.0011298478936051606
73,H0FL021102012,"SOUTHERLAND, WILLIAM STEVE II                                                                                                                                                                           ",REP,0,0.0007814366488811022
74,H0FL021362014,"NETHERWOOD, RAYMOND HEATH                                                                                                                                                                               ",LIB,0,4.977303496057977e-06
75,H0FL031002012,"KOLB, EUNA LEANNE                                                                                                                                                                                       ",REP,0,1.4931910488173926e-05
76,H0FL040662014,"CRENSHAW, ANDER                                                                                                                                                                                         ",REP,1,0.00016922831886597117
77,H0FL040662012,"CRENSHAW, ANDER HON.                                                                                                                                                                                    ",REP,1,4.977303496057976e-05
78,H0FL051392014,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1,2.488651748028988e-05
79,H0FL051392012,"NUGENT, RICHARD B                                                                                                                                                                                       ",REP,1,2.488651748028988e-05
80,H0FL070772012,"BEAVEN, HEATHER M                                                                                                                                                                                       ",DEM,0,0.0003085928167555945
81,H0FL082082014,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1,0.0004927530461097397
82,H0FL082082012,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1,0.0006370948474954209
83,H0FL121012014,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1,0.0002588197817950147
84,H0FL121012012,"ROSS, DENNIS ALAN                                                                                                                                                                                       ",REP,1,0.00016425101536991318
85,H0FL140652012,"ROACH, JAMES LLOYD                                                                                                                                                                                      ",DEM,0,7.465955244086964e-05
86,H0FL150542012,"ROBERTS, SHANNON                                                                                                                                                                                        ",DEM,0,4.479573146452178e-05
87,H0FL170682012,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1,4.479573146452178e-05
88,H0FL170682014,"WILSON, FREDERICA S                                                                                                                                                                                     ",DEM,1,3.981842796846381e-05
89,H0FL180252012,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1,0.0008411642908337981
90,H0FL180252014,"ROS-LEHTINEN, ILEANA                                                                                                                                                                                    ",REP,1,0.00028868360277136264
91,H0FL190802012,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1,0.0005873218125348412
92,H0FL190802014,"DEUTCH, THEODORE ELIOT                                                                                                                                                                                  ",DEM,1,0.0002687743887871307
93,H0FL200702012,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0,0.0015081229593055664
94,H0FL200702014,"HARRINGTON, KAREN                                                                                                                                                                                       ",REP,0,1.9909213984231906e-05
95,H0FL201042012,"BLUMENTHAL, STANLEY                                                                                                                                                                                     ",OTH,0,4.977303496057977e-06
96,H0FL250382012,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0,0.00017420562236202916
97,H0FL250382014,"RIVERA, DAVID                                                                                                                                                                                           ",REP,0,
98,H0GA071252010,"HICE, JODY B MR                                                                                                                                                                                         ",REP,1,
99,H0GA071252014,"HICE, JODY                                                                                                                                                                                              ",REP,1,0.0004579119216373338
100,H0GA071332012,"WOODALL, ROB                                                                                                                                                                                            ",UNK,1,3.4841124472405826e-05
101,H0GA071332014,"WOODALL, ROB REP.                                                                                                                                                                                       ",REP,1,0.0004927530461097397
102,H0GA080992012,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1,0.00037329776220434817
103,H0GA080992014,"SCOTT, JAMES AUSTIN                                                                                                                                                                                     ",REP,1,0.0002837062992753046
104,H0GA090302012,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1,0.00036334315521223225
105,H0GA090302014,"GRAVES, JOHN THOMAS MR. JR.                                                                                                                                                                             ",REP,1,0.00047284383212550774
106,H0HI011572012,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0,0.0004977303496057977
107,H0HI011572014,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0,0.001368758461415943
108,H0IA011172012,"LANGE, BEN                                                                                                                                                                                              ",REP,0,0.001468304531337103
109,H0IA051002012,"MONROE, MARTIN JAMES                                                                                                                                                                                    ",IND,0,
110,H0ID012532012,"LABRADOR, RAUL                                                                                                                                                                                          ",REP,1,0.0007963685593692761
111,H0ID012532014,"LABRADOR, RAUL R. REP.                                                                                                                                                                                  ",REP,1,0.0003882296726925221
112,H0ID020532012,"CHAPPELL, JACK WAYNE                                                                                                                                                                                    ",DEM,0,
113,H0IL050962014,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1,0.0006868678824560006
114,H0IL050962012,"QUIGLEY, MIKE                                                                                                                                                                                           ",DEM,1,0.0004678665286294497
115,H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0,0.001771920044596639
116,H0IL090802014,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0,
117,H0IL090802012,"ATANUS, SUSANNE                                                                                                                                                                                         ",REP,0,
118,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,1,0.0046587560723102646
119,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,1,0.0052162140638687595
120,H0IL103022014,"DOLD, ROBERT JAMES JR                                                                                                                                                                                   ",REP,0,0.0046587560723102646
121,H0IL103022012,"DOLD, ROBERT JAMES MR JR                                                                                                                                                                                ",REP,0,0.0052162140638687595
122,H0IL110522014,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1,0.001015369913195827
123,H0IL110522012,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1,0.0005823445090387832
124,H0IL140802014,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1,0.0004529346181412758
125,H0IL140802012,"HULTGREN, RANDY                                                                                                                                                                                         ",REP,1,0.0007864139523771601
126,H0IL170592014,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0,0.001627578243210958
127,H0IL170592012,"SCHILLING, ROBERT T.                                                                                                                                                                                    ",REP,0,0.0026827665843752488
128,H0IN021252014,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1,0.0008013458628653339
129,H0IN021252012,"MESSER, ALLEN LUCAS                                                                                                                                                                                     ",REP,1,0.0006669586684717688
130,H0IN031982014,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1,0.0009108465397786096
131,H0IN031982012,"STUTZMAN, MARLIN A                                                                                                                                                                                      ",REP,1,0.0006968224894481166
132,H0IN041702014,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1,0.0009357330572588996
133,H0IN041702012,"ROKITA, THEODORE EDWARD                                                                                                                                                                                 ",REP,1,0.000826232380345624
134,H0IN051692012,"REID, RICHARD ANDREW                                                                                                                                                                                    ",LIB,0,
135,H0IN071572012,"MAY, CARLOS ANDREW                                                                                                                                                                                      ",REP,0,0.00017918292585808712
136,H0IN081142014,"BUCSHON, LARRY D.                                                                                                                                                                                       ",REP,1,0.0006868678824560006
137,H0IN081142012,"BUCSHON, LARRY D                                                                                                                                                                                        ",REP,1,0.0016873058851636538
138,H0IN090702014,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,0.0017072150991478856
139,H0IN090702012,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,0.0021203312893206976
140,H0KS020972012,"HAWVER, IRA DENNIS                                                                                                                                                                                      ",LIB,0,
141,H0KS031372014,"YODER, KEVIN                                                                                                                                                                                            ",REP,1,0.0009208011467707256
142,H0KS031372012,"YODER, KEVIN                                                                                                                                                                                            ",REP,1,0.0005475033845663773
143,H0KS040512014,"POMPEO, MICHAEL R                                                                                                                                                                                       ",REP,1,0.000627140240503305
144,H0KS040512012,"POMPEO, MICHAEL RICHARD                                                                                                                                                                                 ",REP,1,0.0010004380027076529
145,H0KS041012012,"TILLMAN, ROBERT LEON                                                                                                                                                                                    ",DEM,0,4.977303496057977e-06
146,H0KY032262012,"WICKER, SCOTT BROOKS JR                                                                                                                                                                                 ",REP,0,0.00019909213984231904
147,H0KY050152014,"ROGERS, HAROLD D                                                                                                                                                                                        ",REP,1,0.0003085928167555945
148,H0KY050152012,"ROGERS, HAROLD DALLAS                                                                                                                                                                                   ",REP,1,0.000622162937007247
149,H0KY061042014,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1,0.00240901489209206
150,H0KY061042012,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1,0.0044248228079955395
151,H0LA010872014,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1,0.00044298001114915977
152,H0LA010872012,"SCALISE, STEVE MR.                                                                                                                                                                                      ",REP,1,0.00038325236919646414
153,H0LA031412012,"LANDRY, JEFFREY M                                                                                                                                                                                       ",REP,1,0.00120450744604603
154,H0MA041272012,"BIELAT, SEAN                                                                                                                                                                                            ",REP,0,0.0007465955244086963
155,H0MA050662012,"GOLNIK, JONATHAN A                                                                                                                                                                                      ",REP,0,0.00019909213984231904
156,H0MA090272012,"ROSA, DAVID A                                                                                                                                                                                           ",IND,0,
157,H0MA100822014,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1,0.00027375169228318865
158,H0MA100822012,"KEATING, WILLIAM RICHARD                                                                                                                                                                                ",DEM,1,0.00032850203073982637
159,H0MD070722012,"MIRABILE, FRANK CHARLES JR                                                                                                                                                                              ",REP,0,6.470494544875368e-05
160,H0MD081382012,"GRANNIS, MARK ANDREW                                                                                                                                                                                    ",LIB,0,2.9863820976347853e-05
161,H0MI010882014,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1,0.0011298478936051606
162,H0MI010882012,"BENISHEK, DANIEL J. M.D.                                                                                                                                                                                ",REP,1,0.0010800748586445807
163,H0MI011532012,"MCDOWELL, GARY J. HON.                                                                                                                                                                                  ",DEM,0,0.0013239627299514215
164,H0MI020942014,"HUIZENGA, WILLIAM P THE HON.                                                                                                                                                                            ",REP,1,0.00028868360277136264
165,H0MI020942012,"HUIZENGA, WILLIAM P                                                                                                                                                                                     ",REP,1,0.0005972764195269571
166,H0MI031262014,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1,0.0006818905789599428
167,H0MI031262012,"AMASH, JUSTIN                                                                                                                                                                                           ",REP,1,0.0009954606992115954
168,H0MI080422012,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1,0.0005275941705821455
169,H0MI080422014,"ROGERS, MICHAEL J                                                                                                                                                                                       ",REP,1,0.00010950067691327546
170,H0MI080912012,"ENDERLE, LANCE L                                                                                                                                                                                        ",DEM,0,
171,H0MI081092012,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0,
172,H0MI081092014,"DASHAIRYA, BHAGWAN                                                                                                                                                                                      ",LIB,0,
173,H0MI100712012,"CAMP, DAVID LEE                                                                                                                                                                                         ",REP,1,0.0009208011467707256
174,H0MI100712014,"CAMP, DAVID LEE                                                                                                                                                                                         ",REP,1,9.954606992115952e-05
175,H0MI121272012,"VOLARIC, DONALD CECIL                                                                                                                                                                                   ",REP,0,2.488651748028988e-05
176,H0MI121272014,"VOLARIC, DONALD CECIL                                                                                                                                                                                   ",REP,0,
177,H0MI134142012,"HAULER, JOHN RAYMOND                                                                                                                                                                                    ",REP,0,
178,H0MN010372012,"QUIST, ALLEN                                                                                                                                                                                            ",REP,0,0.00011447798040933345
179,H0MN010452010,"HAGEDORN, JAMES                                                                                                                                                                                         ",REP,0,
180,H0MN010452014,"HAGEDORN, JAMES                                                                                                                                                                                         ",REP,0,0.00021900135382655093
181,H0MN040492012,"MCCOLLUM, BETTY                                                                                                                                                                                         ",DFL,1,0.00037329776220434817
182,H0MN040492014,"MCCOLLUM, BETTY                                                                                                                                                                                         ",DEM,1,0.00037329776220434817
